feature,min,max,mutable,type
loan_amnt,1000,40000,TRUE,real
term,36,60,FALSE,int
int_rate,5.31,30.99,FALSE,real
installment,4.93,1719.83,TRUE,real
sub_grade,0,34,FALSE,int
emp_length,0,10,TRUE,int
annual_inc,33,10999200,TRUE,real
dti,-1,999,TRUE,real
open_acc,1,90,TRUE,int
pub_rec,0,86,FALSE,int
revol_bal,0,2904836,TRUE,real
revol_util,0,892.3,TRUE,real
total_acc,2,176,TRUE,int
mort_acc,0,51,TRUE,int
pub_rec_bankruptcies,0,12,FALSE,int
fico_score,662,847.5,FALSE,real
month_of_year,0,11,FALSE,int
ratio_loan_amnt_annual_inc,0.0001714285714,310.6060606,TRUE,real
ratio_open_acc_total_acc,0.0243902439,1,TRUE,real
month_since_earliest_cr_line,36,999,FALSE,int
ratio_pub_rec_month_since_earliest_cr_line,0,0.4959349593,FALSE,real
ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0,0.09090909091,FALSE,real
ratio_pub_rec_bankruptcies_pub_rec,-1,1,FALSE,real
home_ownership,0,5,FALSE,cat
verification_status,0,2,FALSE,cat
purpose,0,13,TRUE,cat
initial_list_status,0,1,FALSE,cat
application_type,0,1,TRUE,cat
